address,city,state,postalCode,price,size_sqft,num_rooms,year_built
"357 W 30TH ST APT 4, NEW YORK, NY 10001",NEW YORK,NY,10001,950000.0,936.0,1,1920
"360 7TH AVE, NEW YORK, NY 10001",NEW YORK,NY,10001,0.0,7424.0,6,1908
"135 W 28TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,2600000.0,6765.0,20,1916
"339 W 29TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,0.0,6578.0,10,1900
"299 7TH AVE, NEW YORK, NY 10001",NEW YORK,NY,10001,0.0,3366.0,1,1920
"28 W 30TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,2950000.0,11280.0,4,1915
"37 W 32ND ST, NEW YORK, NY 10001",NEW YORK,NY,10001,14000000.0,10163.0,5,1915
"280 W 25TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,5300000.0,2607.0,1,1900
"108 W 28TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,0.0,5860.0,4,1910
"246 5TH AVE, NEW YORK, NY 10001",NEW YORK,NY,10001,19950000.0,32049.0,47,1920
"102 W 29TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,2400000.0,8970.0,5,1920
"106 W 28TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,3617000.0,4880.0,3,1910
"110 W 28TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,0.0,3590.0,3,1910
"118 W 28TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,0.0,3520.0,1,1910
"105 W 28TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,11600000.0,145344.0,1,2016
"525 W 29TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,0.0,7182.0,3,1930
"448 W 25TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,3975000.0,2666.0,3,1900
"345 W 29TH ST APT 4, NEW YORK, NY 10001",NEW YORK,NY,10001,824500.0,0.0,0,0
"340 9TH AVE, NEW YORK, NY 10001",NEW YORK,NY,10001,1700000.0,3890.0,4,1910
"302 8TH AVE, NEW YORK, NY 10001",NEW YORK,NY,10001,4750000.0,5652.0,6,1910
"5761 W 35TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,69500000.0,55000.0,1,2008
"341 W 30TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,3000000.0,3748.0,1,1920
"224 5TH AVE, NEW YORK, NY 10001",NEW YORK,NY,10001,13000000.0,13517.0,6,1980
"349 W 29TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,2700000.0,7569.0,10,1900
"54 W 31ST ST, NEW YORK, NY 10001",NEW YORK,NY,10001,0.0,3290.0,1,1910
"360 9TH AVE, NEW YORK, NY 10001",NEW YORK,NY,10001,0.0,4615.0,4,1901
"349 W 30TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,488000.0,2741.0,2,1840
"325 W 30TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,0.0,4577.0,20,1920
"307 W 30TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,0.0,6376.0,3,1901
"305 W 30TH ST, NEW YORK, NY 10001",NEW YORK,NY,10001,4500000.0,2469.0,0,1910
